state,year,quarter,gennme_c,prodnme,strngth,mstfmds,suppression_used,total_prescriptions
ca,2010,1,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,FALSE,1460
ca,2010,1,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,TRUE,0
ca,2010,2,Buprenorphine Hydrochloride,BUPRENEX,0.3 MG/1 ML,Solution,TRUE,0
ca,2010,2,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,FALSE,16
ca,2010,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,FALSE,37
ca,2010,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,TRUE,0
ca,2010,2,Buprenorphine Hydrochloride,SUBUTEX,2 MG,Tablet,TRUE,0
ca,2010,2,Buprenorphine Hydrochloride,SUBUTEX,8 MG,Tablet,FALSE,70
ca,2010,2,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Tablet,FALSE,131
ca,2010,2,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Tablet,TRUE,0
ca,2010,2,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,FALSE,1756
ca,2010,3,Buprenorphine Hydrochloride,BUPRENEX,0.3 MG/1 ML,Solution,TRUE,0
ca,2010,3,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,FALSE,21
ca,2010,3,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,TRUE,0
ca,2010,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,FALSE,105
ca,2010,3,Buprenorphine Hydrochloride,SUBUTEX,8 MG,Tablet,FALSE,41
ca,2010,3,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Tablet,FALSE,138
ca,2010,3,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Tablet,TRUE,0
ca,2010,3,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,TRUE,0
ca,2010,3,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,FALSE,1797
ca,2010,4,Buprenorphine Hydrochloride,BUPRENEX,0.3 MG/1 ML,Solution,TRUE,0
ca,2010,4,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,FALSE,20
ca,2010,4,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,TRUE,0
ca,2010,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,FALSE,119
ca,2010,4,Buprenorphine Hydrochloride,SUBUTEX,8 MG,Tablet,FALSE,34
ca,2010,4,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,TRUE,0
ca,2010,4,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Tablet,FALSE,148
ca,2010,4,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,FALSE,305
ca,2010,4,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,TRUE,0
ca,2010,4,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,FALSE,1726
ca,2010,4,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,TRUE,0
ca,2011,1,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2011,1,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2011,1,Buprenorphine Hydrochloride,BUPRENEX,0.3 MG/1 ML,Solution,TRUE,0
ca,2011,1,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,FALSE,26
ca,2011,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,FALSE,94
ca,2011,1,Buprenorphine Hydrochloride,BUPRENORPHINE HYDROCHLORIDE,0.3 MG/1 ML,Solution,TRUE,0
ca,2011,1,Buprenorphine Hydrochloride,SUBUTEX,8 MG,Tablet,FALSE,28
ca,2011,1,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,FALSE,34
ca,2011,1,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Tablet,FALSE,169
ca,2011,1,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,FALSE,565
ca,2011,1,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,TRUE,0
ca,2011,1,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,FALSE,1494
ca,2011,1,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,TRUE,0
ca,2011,2,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",FALSE,28
ca,2011,2,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2011,2,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2011,2,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",FALSE,14
ca,2011,2,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2011,2,Buprenorphine Hydrochloride,BUPRENEX,0.3 MG/1 ML,Solution,TRUE,0
ca,2011,2,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,FALSE,30
ca,2011,2,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,TRUE,0
ca,2011,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,FALSE,112
ca,2011,2,Buprenorphine Hydrochloride,SUBUTEX,2 MG,Tablet,TRUE,0
ca,2011,2,Buprenorphine Hydrochloride,SUBUTEX,8 MG,Tablet,FALSE,22
ca,2011,2,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,FALSE,53
ca,2011,2,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Tablet,FALSE,148
ca,2011,2,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Tablet,TRUE,0
ca,2011,2,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,FALSE,810
ca,2011,2,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,TRUE,0
ca,2011,2,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,FALSE,1300
ca,2011,2,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,TRUE,0
ca,2011,3,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",FALSE,38
ca,2011,3,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2011,3,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",FALSE,47
ca,2011,3,Buprenorphine Hydrochloride,BUPRENEX,0.3 MG/1 ML,Solution,TRUE,0
ca,2011,3,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,FALSE,25
ca,2011,3,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,TRUE,0
ca,2011,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,FALSE,138
ca,2011,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,TRUE,0
ca,2011,3,Buprenorphine Hydrochloride,SUBUTEX,8 MG,Tablet,FALSE,12
ca,2011,3,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,FALSE,54
ca,2011,3,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,TRUE,0
ca,2011,3,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Tablet,FALSE,133
ca,2011,3,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Tablet,TRUE,0
ca,2011,3,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,FALSE,849
ca,2011,3,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,TRUE,0
ca,2011,3,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,FALSE,1101
ca,2011,4,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",FALSE,32
ca,2011,4,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2011,4,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",FALSE,24
ca,2011,4,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2011,4,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",FALSE,61
ca,2011,4,Buprenorphine Hydrochloride,BUPRENEX,0.3 MG/1 ML,Solution,TRUE,0
ca,2011,4,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,FALSE,24
ca,2011,4,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,TRUE,0
ca,2011,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,FALSE,224
ca,2011,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,TRUE,0
ca,2011,4,Buprenorphine Hydrochloride,SUBUTEX,8 MG,Tablet,TRUE,0
ca,2011,4,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,FALSE,72
ca,2011,4,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Tablet,FALSE,122
ca,2011,4,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,FALSE,994
ca,2011,4,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,TRUE,0
ca,2011,4,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,FALSE,1215
ca,2011,4,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Tablet,TRUE,0
ca,2012,1,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",FALSE,56
ca,2012,1,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",TRUE,0
ca,2012,1,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",FALSE,41
ca,2012,1,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",FALSE,68
ca,2012,1,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,FALSE,40
ca,2012,1,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,TRUE,0
ca,2012,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,FALSE,221
ca,2012,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,TRUE,0
ca,2012,1,Buprenorphine Hydrochloride,SUBUTEX,8 MG,Tablet,TRUE,0
ca,2012,1,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,FALSE,65
ca,2012,1,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Tablet,FALSE,108
