state,year,quarter,suppression_used,total_prescriptions
ca,2010,1,FALSE,1460
ca,2010,1,TRUE,0
ca,2010,2,FALSE,2010
ca,2010,2,TRUE,0
ca,2010,3,FALSE,2102
ca,2010,3,TRUE,0
ca,2010,4,FALSE,2352
ca,2010,4,TRUE,0
ca,2011,1,FALSE,2410
ca,2011,1,TRUE,0
ca,2011,2,FALSE,2517
ca,2011,2,TRUE,0
ca,2011,3,FALSE,2397
ca,2011,3,TRUE,0
ca,2011,4,FALSE,2768
ca,2011,4,TRUE,0
ca,2012,1,FALSE,2748
ca,2012,1,TRUE,0
ca,2012,2,FALSE,2614
ca,2012,2,TRUE,0
ca,2012,3,FALSE,3346
ca,2012,3,TRUE,0
ca,2012,4,FALSE,3187
ca,2012,4,TRUE,0
ca,2013,1,FALSE,2815
ca,2013,1,TRUE,0
ca,2013,2,FALSE,2825
ca,2013,2,TRUE,0
ca,2013,3,FALSE,3925
ca,2013,3,TRUE,0
ca,2013,4,FALSE,3226
ca,2013,4,TRUE,0
ca,2014,1,FALSE,4061
ca,2014,1,TRUE,0
ca,2014,2,FALSE,6958
ca,2014,2,TRUE,0
ca,2014,3,FALSE,8375
ca,2014,3,TRUE,0
ca,2014,4,FALSE,9395
ca,2014,4,TRUE,0
ca,2015,1,FALSE,10819
ca,2015,1,TRUE,0
ca,2015,2,FALSE,14024
ca,2015,2,TRUE,0
ca,2015,3,FALSE,17505
ca,2015,3,TRUE,0
ca,2015,4,FALSE,19473
ca,2015,4,TRUE,0
ca,2016,1,FALSE,20631
ca,2016,1,TRUE,0
ca,2016,2,FALSE,19799
ca,2016,2,TRUE,0
ca,2016,3,FALSE,28888
ca,2016,3,TRUE,0
ca,2016,4,FALSE,28398
ca,2016,4,TRUE,0
ca,2017,1,FALSE,31320
ca,2017,1,TRUE,0
ca,2017,2,FALSE,28976
ca,2017,2,TRUE,0
ca,2017,3,FALSE,41961
ca,2017,3,TRUE,0
ca,2017,4,FALSE,38798
ca,2017,4,TRUE,0
ca,2018,1,FALSE,40891
ca,2018,1,TRUE,0
ca,2018,2,FALSE,36678
ca,2018,2,TRUE,0
ca,2018,3,FALSE,52570
ca,2018,3,TRUE,0
ca,2018,4,FALSE,51798
ca,2018,4,TRUE,0
ca,2019,1,FALSE,45634
ca,2019,1,TRUE,0
ca,2019,2,FALSE,44846
ca,2019,2,TRUE,0
ca,2019,3,FALSE,67211
ca,2019,3,TRUE,0
ca,2019,4,FALSE,58072
ca,2019,4,TRUE,0
ca,2020,1,NA,60414
de,2010,1,FALSE,2722
de,2010,1,TRUE,0
de,2010,2,FALSE,2897
de,2010,2,TRUE,0
de,2010,3,FALSE,3099
de,2010,3,TRUE,0
de,2010,4,FALSE,3100
de,2010,4,TRUE,0
de,2011,1,FALSE,3512
de,2011,1,TRUE,0
de,2011,2,FALSE,3630
de,2011,2,TRUE,0
de,2011,3,FALSE,3333
de,2011,3,TRUE,0
de,2011,4,FALSE,3378
de,2011,4,TRUE,0
de,2012,1,FALSE,3977
de,2012,1,TRUE,0
de,2012,2,FALSE,4837
de,2012,2,TRUE,0
de,2012,3,FALSE,4843
de,2012,3,TRUE,0
de,2012,4,FALSE,5278
de,2012,4,TRUE,0
de,2013,1,FALSE,4754
de,2013,1,TRUE,0
de,2013,2,FALSE,5517
de,2013,2,TRUE,0
de,2013,3,FALSE,5658
de,2013,3,TRUE,0
de,2013,4,FALSE,5056
de,2013,4,TRUE,0
de,2014,1,FALSE,4920
de,2014,1,TRUE,0
de,2014,2,FALSE,5247
de,2014,2,TRUE,0
de,2014,3,FALSE,4682
de,2014,3,TRUE,0
de,2014,4,FALSE,4321
de,2014,4,TRUE,0
de,2015,1,FALSE,3770
de,2015,1,TRUE,0
de,2015,2,FALSE,3808
de,2015,2,TRUE,0
de,2015,3,FALSE,4594
de,2015,3,TRUE,0
de,2015,4,FALSE,5203
de,2015,4,TRUE,0
de,2016,1,FALSE,7994
de,2016,1,TRUE,0
de,2016,2,FALSE,8850
de,2016,2,TRUE,0
de,2016,3,FALSE,8737
de,2016,3,TRUE,0
de,2016,4,FALSE,9012
de,2016,4,TRUE,0
de,2017,1,FALSE,8348
de,2017,1,TRUE,0
de,2017,2,FALSE,10476
de,2017,2,TRUE,0
de,2017,3,FALSE,9221
de,2017,3,TRUE,0
de,2017,4,FALSE,10902
de,2017,4,TRUE,0
de,2018,1,FALSE,15170
de,2018,1,TRUE,0
de,2018,2,FALSE,14370
de,2018,2,TRUE,0
de,2018,3,FALSE,14845
de,2018,3,TRUE,0
de,2018,4,FALSE,20172
de,2018,4,TRUE,0
de,2019,1,FALSE,21824
de,2019,1,TRUE,0
de,2019,2,FALSE,21762
de,2019,2,TRUE,0
de,2019,3,FALSE,19919
de,2019,3,TRUE,0
de,2019,4,FALSE,19996
de,2019,4,TRUE,0
de,2020,1,NA,18857
fl,2010,1,FALSE,823
fl,2010,1,TRUE,0
fl,2010,2,FALSE,1637
fl,2010,2,TRUE,0
fl,2010,3,FALSE,1833
fl,2010,3,TRUE,0
fl,2010,4,FALSE,1765
fl,2010,4,TRUE,0
fl,2011,1,FALSE,1672
fl,2011,1,TRUE,0
fl,2011,2,FALSE,1852
fl,2011,2,TRUE,0
fl,2011,3,FALSE,1857
fl,2011,3,TRUE,0
fl,2011,4,FALSE,1922
fl,2011,4,TRUE,0
fl,2012,1,FALSE,494
fl,2012,1,TRUE,0
fl,2012,2,FALSE,623
fl,2012,2,TRUE,0
fl,2012,3,FALSE,3879
fl,2012,3,TRUE,0
fl,2012,4,FALSE,3138
fl,2012,4,TRUE,0
fl,2013,1,FALSE,1654
fl,2013,1,TRUE,0
fl,2013,2,FALSE,3057
fl,2013,2,TRUE,0
fl,2013,3,FALSE,2940
fl,2013,3,TRUE,0
fl,2013,4,FALSE,2798
fl,2013,4,TRUE,0
fl,2014,1,FALSE,2697
fl,2014,1,TRUE,0
fl,2014,2,FALSE,2886
fl,2014,2,TRUE,0
fl,2014,3,FALSE,5474
fl,2014,3,TRUE,0
fl,2014,4,FALSE,5484
fl,2014,4,TRUE,0
fl,2015,1,FALSE,4980
fl,2015,1,TRUE,0
fl,2015,2,FALSE,5296
fl,2015,2,TRUE,0
fl,2015,3,FALSE,5820
fl,2015,3,TRUE,0
fl,2015,4,FALSE,6035
fl,2015,4,TRUE,0
fl,2016,1,FALSE,5935
fl,2016,1,TRUE,0
fl,2016,2,FALSE,7765
fl,2016,2,TRUE,0
fl,2016,3,FALSE,7727
fl,2016,3,TRUE,0
fl,2016,4,FALSE,8961
fl,2016,4,TRUE,0
fl,2017,1,FALSE,8292
fl,2017,1,TRUE,0
fl,2017,2,FALSE,10210
fl,2017,2,TRUE,0
fl,2017,3,FALSE,9288
fl,2017,3,TRUE,0
fl,2017,4,FALSE,8908
fl,2017,4,TRUE,0
fl,2018,1,FALSE,8129
fl,2018,1,TRUE,0
fl,2018,2,FALSE,9222
fl,2018,2,TRUE,0
fl,2018,3,FALSE,9702
fl,2018,3,TRUE,0
fl,2018,4,FALSE,10114
fl,2018,4,TRUE,0
fl,2019,1,FALSE,10694
fl,2019,1,TRUE,0
fl,2019,2,FALSE,11415
fl,2019,2,TRUE,0
fl,2019,3,FALSE,11604
fl,2019,3,TRUE,0
fl,2019,4,FALSE,11709
fl,2019,4,TRUE,0
fl,2020,1,NA,11518
ga,2010,1,FALSE,279
ga,2010,1,TRUE,0
ga,2010,2,FALSE,309
ga,2010,2,TRUE,0
ga,2010,3,FALSE,396
ga,2010,3,TRUE,0
ga,2010,4,FALSE,323
ga,2010,4,TRUE,0
ga,2011,1,FALSE,411
ga,2011,1,TRUE,0
ga,2011,2,FALSE,490
ga,2011,2,TRUE,0
ga,2011,3,FALSE,425
ga,2011,3,TRUE,0
ga,2011,4,FALSE,1906
ga,2011,4,TRUE,0
ga,2012,1,FALSE,1963
ga,2012,1,TRUE,0
ga,2012,2,FALSE,2134
ga,2012,2,TRUE,0
ga,2012,3,FALSE,2316
ga,2012,3,TRUE,0
ga,2012,4,FALSE,2507
ga,2012,4,TRUE,0
ga,2013,1,FALSE,2432
ga,2013,1,TRUE,0
ga,2013,2,FALSE,2437
ga,2013,2,TRUE,0
ga,2013,3,FALSE,2436
ga,2013,3,TRUE,0
ga,2013,4,FALSE,2362
ga,2013,4,TRUE,0
ga,2014,1,FALSE,2195
ga,2014,1,TRUE,0
ga,2014,2,FALSE,2712
ga,2014,2,TRUE,0
ga,2014,3,FALSE,3325
ga,2014,3,TRUE,0
ga,2014,4,FALSE,3646
ga,2014,4,TRUE,0
ga,2015,1,FALSE,3580
ga,2015,1,TRUE,0
ga,2015,2,FALSE,3516
ga,2015,2,TRUE,0
ga,2015,3,FALSE,3396
ga,2015,3,TRUE,0
ga,2015,4,FALSE,3610
ga,2015,4,TRUE,0
ga,2016,1,FALSE,3298
ga,2016,1,TRUE,0
ga,2016,2,FALSE,3564
ga,2016,2,TRUE,0
ga,2016,3,FALSE,3834
ga,2016,3,TRUE,0
ga,2016,4,FALSE,4026
ga,2016,4,TRUE,0
ga,2017,1,FALSE,4563
ga,2017,1,TRUE,0
ga,2017,2,FALSE,4929
ga,2017,2,TRUE,0
ga,2017,3,FALSE,5067
ga,2017,3,TRUE,0
ga,2017,4,FALSE,4704
ga,2017,4,TRUE,0
ga,2018,1,FALSE,4914
ga,2018,1,TRUE,0
ga,2018,2,FALSE,5092
ga,2018,2,TRUE,0
ga,2018,3,FALSE,5203
ga,2018,3,TRUE,0
ga,2018,4,FALSE,5606
ga,2018,4,TRUE,0
ga,2019,1,FALSE,5757
ga,2019,1,TRUE,0
ga,2019,2,FALSE,6274
ga,2019,2,TRUE,0
ga,2019,3,FALSE,6333
ga,2019,3,TRUE,0
ga,2019,4,FALSE,6225
ga,2019,4,TRUE,0
ga,2020,1,NA,6208
id,2010,1,FALSE,318
id,2010,1,TRUE,0
id,2010,2,FALSE,372
id,2010,2,TRUE,0
id,2010,3,FALSE,424
id,2010,3,TRUE,0
id,2010,4,FALSE,376
id,2010,4,TRUE,0
id,2011,1,FALSE,391
id,2011,1,TRUE,0
id,2011,2,FALSE,425
id,2011,2,TRUE,0
id,2011,3,FALSE,474
id,2011,3,TRUE,0
id,2011,4,FALSE,503
id,2011,4,TRUE,0
id,2012,1,FALSE,600
id,2012,1,TRUE,0
id,2012,2,FALSE,640
id,2012,2,TRUE,0
id,2012,3,FALSE,597
id,2012,3,TRUE,0
id,2012,4,FALSE,776
id,2012,4,TRUE,0
id,2013,1,FALSE,716
id,2013,1,TRUE,0
id,2013,2,FALSE,768
id,2013,2,TRUE,0
id,2013,3,FALSE,796
id,2013,3,TRUE,0
id,2013,4,FALSE,812
id,2013,4,TRUE,0
id,2014,1,FALSE,843
id,2014,1,TRUE,0
id,2014,2,FALSE,826
id,2014,2,TRUE,0
id,2014,3,FALSE,849
id,2014,3,TRUE,0
id,2014,4,FALSE,876
id,2014,4,TRUE,0
id,2015,1,FALSE,880
id,2015,1,TRUE,0
id,2015,2,FALSE,923
id,2015,2,TRUE,0
id,2015,3,FALSE,984
id,2015,3,TRUE,0
id,2015,4,FALSE,1084
id,2015,4,TRUE,0
id,2016,1,FALSE,973
id,2016,1,TRUE,0
id,2016,2,FALSE,1076
id,2016,2,TRUE,0
id,2016,3,FALSE,1264
id,2016,3,TRUE,0
id,2016,4,FALSE,1537
id,2016,4,TRUE,0
id,2017,1,FALSE,1557
id,2017,1,TRUE,0
id,2017,2,FALSE,1711
id,2017,2,TRUE,0
id,2017,3,FALSE,1876
id,2017,3,TRUE,0
id,2017,4,FALSE,2182
id,2017,4,TRUE,0
id,2018,1,FALSE,2165
id,2018,1,TRUE,0
id,2018,2,FALSE,2241
id,2018,2,TRUE,0
id,2018,3,FALSE,2156
id,2018,3,TRUE,0
id,2018,4,FALSE,2581
id,2018,4,TRUE,0
id,2019,1,FALSE,2337
id,2019,1,TRUE,0
id,2019,2,FALSE,2593
id,2019,2,TRUE,0
id,2019,3,FALSE,2639
id,2019,3,TRUE,0
id,2019,4,FALSE,2470
id,2019,4,TRUE,0
id,2020,1,NA,4735
il,2010,1,FALSE,3657
il,2010,1,TRUE,0
il,2010,2,FALSE,6264
il,2010,2,TRUE,0
il,2010,3,FALSE,6875
il,2010,3,TRUE,0
il,2010,4,FALSE,6580
il,2010,4,TRUE,0
il,2011,1,FALSE,7707
il,2011,1,TRUE,0
il,2011,2,FALSE,7990
il,2011,2,TRUE,0
il,2011,3,FALSE,1829
il,2011,3,TRUE,0
il,2011,4,FALSE,4621
il,2011,4,TRUE,0
il,2012,1,FALSE,8535
il,2012,1,TRUE,0
il,2012,2,FALSE,7514
il,2012,2,TRUE,0
il,2012,3,FALSE,11719
il,2012,3,TRUE,0
il,2012,4,FALSE,8142
il,2012,4,TRUE,0
il,2013,1,FALSE,6348
il,2013,1,TRUE,0
il,2013,2,FALSE,4919
il,2013,2,TRUE,0
il,2013,3,FALSE,2603
il,2013,3,TRUE,0
il,2013,4,FALSE,3116
il,2013,4,TRUE,0
il,2014,1,FALSE,2435
il,2014,1,TRUE,0
il,2014,2,FALSE,3681
il,2014,2,TRUE,0
il,2014,3,FALSE,2291
il,2014,3,TRUE,0
il,2014,4,FALSE,2605
il,2014,4,TRUE,0
il,2015,1,FALSE,2183
il,2015,1,TRUE,0
il,2015,2,FALSE,1799
il,2015,2,TRUE,0
il,2015,3,FALSE,3802
il,2015,3,TRUE,0
il,2015,4,FALSE,8921
il,2015,4,TRUE,0
il,2016,1,FALSE,9272
il,2016,1,TRUE,0
il,2016,2,FALSE,11003
il,2016,2,TRUE,0
il,2016,3,FALSE,11296
il,2016,3,TRUE,0
il,2016,4,FALSE,18840
il,2016,4,TRUE,0
il,2017,1,FALSE,24433
il,2017,1,TRUE,0
il,2017,2,FALSE,20954
il,2017,2,TRUE,0
il,2017,3,FALSE,22309
il,2017,3,TRUE,0
il,2017,4,FALSE,22803
il,2017,4,TRUE,0
il,2018,1,FALSE,24343
il,2018,1,TRUE,0
il,2018,2,FALSE,23857
il,2018,2,TRUE,0
il,2018,3,FALSE,24465
il,2018,3,TRUE,0
il,2018,4,FALSE,25666
il,2018,4,TRUE,0
il,2019,1,FALSE,26628
il,2019,1,TRUE,0
il,2019,2,FALSE,28552
il,2019,2,TRUE,0
il,2019,3,FALSE,29380
il,2019,3,TRUE,0
il,2019,4,FALSE,30770
il,2019,4,TRUE,0
il,2020,1,NA,31118
in,2010,1,FALSE,4037
in,2010,1,TRUE,0
in,2010,2,FALSE,4516
in,2010,2,TRUE,0
in,2010,3,FALSE,4538
in,2010,3,TRUE,0
in,2010,4,FALSE,4869
in,2010,4,TRUE,0
in,2011,1,FALSE,4966
in,2011,1,TRUE,0
in,2011,2,FALSE,5952
in,2011,2,TRUE,0
in,2011,3,FALSE,5316
in,2011,3,TRUE,0
in,2011,4,FALSE,6667
in,2011,4,TRUE,0
in,2012,1,FALSE,6545
in,2012,1,TRUE,0
in,2012,2,FALSE,6872
in,2012,2,TRUE,0
in,2012,3,FALSE,6884
in,2012,3,TRUE,0
in,2012,4,FALSE,7385
in,2012,4,TRUE,0
in,2013,1,FALSE,7240
in,2013,1,TRUE,0
in,2013,2,FALSE,7638
in,2013,2,TRUE,0
in,2013,3,FALSE,7728
in,2013,3,TRUE,0
in,2013,4,FALSE,8250
in,2013,4,TRUE,0
in,2014,1,FALSE,6975
in,2014,1,TRUE,0
in,2014,2,FALSE,8091
in,2014,2,TRUE,0
in,2014,3,FALSE,8914
in,2014,3,TRUE,0
in,2014,4,FALSE,8607
in,2014,4,TRUE,0
in,2015,1,FALSE,6821
in,2015,1,TRUE,0
in,2015,2,FALSE,10024
in,2015,2,TRUE,0
in,2015,3,FALSE,10542
in,2015,3,TRUE,0
in,2015,4,FALSE,12248
in,2015,4,TRUE,0
in,2016,1,FALSE,12588
in,2016,1,TRUE,0
in,2016,2,FALSE,18299
in,2016,2,TRUE,0
in,2016,3,FALSE,16796
in,2016,3,TRUE,0
in,2016,4,FALSE,19667
in,2016,4,TRUE,0
in,2017,1,FALSE,23827
in,2017,1,TRUE,0
in,2017,2,FALSE,28299
in,2017,2,TRUE,0
in,2017,3,FALSE,33503
in,2017,3,TRUE,0
in,2017,4,FALSE,38033
in,2017,4,TRUE,0
in,2018,1,FALSE,43640
in,2018,1,TRUE,0
in,2018,2,FALSE,51224
in,2018,2,TRUE,0
in,2018,3,FALSE,53659
in,2018,3,TRUE,0
in,2018,4,FALSE,58824
in,2018,4,TRUE,0
in,2019,1,FALSE,61592
in,2019,1,TRUE,0
in,2019,2,FALSE,67805
in,2019,2,TRUE,0
in,2019,3,FALSE,70322
in,2019,3,TRUE,0
in,2019,4,FALSE,74792
in,2019,4,TRUE,0
in,2020,1,NA,80305
ks,2010,1,TRUE,0
ks,2010,2,FALSE,45
ks,2010,2,TRUE,0
ks,2010,3,FALSE,81
ks,2010,3,TRUE,0
ks,2010,4,FALSE,198
ks,2010,4,TRUE,0
ks,2011,1,FALSE,161
ks,2011,1,TRUE,0
