utilization.type,year,state,quarter,gennme,prodnme,strngth,mstfmds,suppression,totalRX
FFSU,2013,AL,4,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,T,0
FFSU,2013,AL,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,284
FFSU,2013,AL,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,T,0
FFSU,2013,AL,4,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,143
FFSU,2013,AL,4,Buprenorphine Hydrochloride,BUPRENEX,0.3 MG/1 ML,Solution,T,0
FFSU,2013,AL,4,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,T,0
FFSU,2013,AL,4,Buprenorphine/Naloxone,SUBOXONE,4 MG-1 MG,Film,F,17
FFSU,2013,AL,4,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,T,0
FFSU,2013,AL,4,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,F,2172
FFSU,2013,AL,4,Buprenorphine/Naloxone,SUBOXONE,12 MG-3 MG,Film,T,0
FFSU,2013,AL,4,Buprenorphine/Naloxone,ZUBSOLV,5.7 MG-1.4 MG,Tablet,T,0
FFSU,2013,AL,4,Buprenorphine Hydrochloride,BUPRENORPHINE HYDROCHLORIDE,0.3 MG/1 ML,Solution,T,0
FFSU,2013,AL,4,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",F,24
FFSU,2013,AL,4,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",F,24
FFSU,2013,AL,4,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",F,47
FFSU,2013,AL,4,Buprenorphine,BUTRANS,15 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2013,AL,4,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,T,0
FFSU,2014,AL,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,317
FFSU,2014,AL,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,T,0
FFSU,2014,AL,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,194
FFSU,2014,AL,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,T,0
FFSU,2014,AL,1,Buprenorphine Hydrochloride,BUPRENEX,0.3 MG/1 ML,Solution,T,0
FFSU,2014,AL,1,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,T,0
FFSU,2014,AL,1,Buprenorphine/Naloxone,SUBOXONE,4 MG-1 MG,Film,F,19
FFSU,2014,AL,1,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,T,0
FFSU,2014,AL,1,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,F,2254
FFSU,2014,AL,1,Buprenorphine/Naloxone,SUBOXONE,12 MG-3 MG,Film,T,0
FFSU,2014,AL,1,Buprenorphine/Naloxone,ZUBSOLV,5.7 MG-1.4 MG,Tablet,T,0
FFSU,2014,AL,1,Buprenorphine Hydrochloride,BUPRENORPHINE HYDROCHLORIDE,0.3 MG/1 ML,Solution,T,0
FFSU,2014,AL,1,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",F,22
FFSU,2014,AL,1,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",F,44
FFSU,2014,AL,1,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",F,37
FFSU,2014,AL,1,Buprenorphine,BUTRANS,15 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2014,AL,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,T,0
FFSU,2014,AL,2,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,T,0
FFSU,2014,AL,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,280
FFSU,2014,AL,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,T,0
FFSU,2014,AL,2,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,210
FFSU,2014,AL,2,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,T,0
FFSU,2014,AL,2,Buprenorphine Hydrochloride,BUPRENEX,0.3 MG/1 ML,Solution,T,0
FFSU,2014,AL,2,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,T,0
FFSU,2014,AL,2,Buprenorphine/Naloxone,SUBOXONE,4 MG-1 MG,Film,F,18
FFSU,2014,AL,2,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,T,0
FFSU,2014,AL,2,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,F,2188
FFSU,2014,AL,2,Buprenorphine/Naloxone,SUBOXONE,12 MG-3 MG,Film,T,0
FFSU,2014,AL,2,Buprenorphine/Naloxone,ZUBSOLV,5.7 MG-1.4 MG,Tablet,F,23
FFSU,2014,AL,2,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",F,30
FFSU,2014,AL,2,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",F,35
FFSU,2014,AL,2,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",F,24
FFSU,2014,AL,2,Buprenorphine,BUTRANS,15 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2014,AL,3,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,T,0
FFSU,2014,AL,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,312
FFSU,2014,AL,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,T,0
FFSU,2014,AL,3,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,T,0
FFSU,2014,AL,3,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,202
FFSU,2014,AL,3,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,T,0
FFSU,2014,AL,3,Buprenorphine/Naloxone,SUBOXONE,4 MG-1 MG,Film,T,0
FFSU,2014,AL,3,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,T,0
FFSU,2014,AL,3,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,F,2256
FFSU,2014,AL,3,Buprenorphine/Naloxone,SUBOXONE,12 MG-3 MG,Film,F,29
FFSU,2014,AL,3,Buprenorphine/Naloxone,ZUBSOLV,5.7 MG-1.4 MG,Tablet,F,19
FFSU,2014,AL,3,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",F,16
FFSU,2014,AL,3,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",F,48
FFSU,2014,AL,3,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",F,15
FFSU,2014,AL,3,Buprenorphine,BUTRANS,15 MCG/1 HR,"Patch, Extended Release",F,15
FFSU,2014,AL,4,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,T,0
FFSU,2014,AL,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,575
FFSU,2014,AL,4,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,236
FFSU,2014,AL,4,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,T,0
FFSU,2014,AL,4,Buprenorphine Hydrochloride,BUPRENEX,0.3 MG/1 ML,Solution,T,0
FFSU,2014,AL,4,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,T,0
FFSU,2014,AL,4,Buprenorphine/Naloxone,SUBOXONE,4 MG-1 MG,Film,T,0
FFSU,2014,AL,4,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,T,0
FFSU,2014,AL,4,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,F,2730
FFSU,2014,AL,4,Buprenorphine/Naloxone,SUBOXONE,12 MG-3 MG,Film,F,49
FFSU,2014,AL,4,Buprenorphine/Naloxone,ZUBSOLV,5.7 MG-1.4 MG,Tablet,F,28
FFSU,2014,AL,4,Buprenorphine Hydrochloride,BUPRENORPHINE HYDROCHLORIDE,0.3 MG/1 ML,Solution,T,0
FFSU,2014,AL,4,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",F,15
FFSU,2014,AL,4,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",F,69
FFSU,2014,AL,4,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",F,14
FFSU,2014,AL,4,Buprenorphine,BUTRANS,7.5 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2014,AL,4,Buprenorphine,BUTRANS,15 MCG/1 HR,"Patch, Extended Release",F,30
FFSU,2015,AL,1,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,T,0
FFSU,2015,AL,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,606
FFSU,2015,AL,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,265
FFSU,2015,AL,1,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,T,0
FFSU,2015,AL,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,T,0
FFSU,2015,AL,1,Buprenorphine Hydrochloride,BUPRENEX,0.3 MG/1 ML,Solution,T,0
FFSU,2015,AL,1,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,T,0
FFSU,2015,AL,1,Buprenorphine/Naloxone,SUBOXONE,4 MG-1 MG,Film,F,13
FFSU,2015,AL,1,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,T,0
FFSU,2015,AL,1,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,F,3177
FFSU,2015,AL,1,Buprenorphine/Naloxone,SUBOXONE,12 MG-3 MG,Film,F,100
FFSU,2015,AL,1,Buprenorphine/Naloxone,ZUBSOLV,1.4 MG-0.36 MG,Tablet,T,0
FFSU,2015,AL,1,Buprenorphine/Naloxone,ZUBSOLV,5.7 MG-1.4 MG,Tablet,F,39
FFSU,2015,AL,1,Buprenorphine Hydrochloride,BUPRENORPHINE HYDROCHLORIDE,0.3 MG/1 ML,Solution,T,0
FFSU,2015,AL,1,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",F,21
FFSU,2015,AL,1,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",F,60
FFSU,2015,AL,1,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",F,38
FFSU,2015,AL,1,Buprenorphine,BUTRANS,7.5 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2015,AL,1,Buprenorphine,BUTRANS,15 MCG/1 HR,"Patch, Extended Release",F,40
FFSU,2015,AL,1,Buprenorphine/Naloxone,BUNAVAIL,4.2 MG-0.7 MG,Film,T,0
FFSU,2015,AL,1,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,2 MG-0.5 MG,Tablet,T,0
FFSU,2015,AL,2,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,T,0
FFSU,2015,AL,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,573
FFSU,2015,AL,2,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,273
FFSU,2015,AL,2,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,T,0
FFSU,2015,AL,2,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,T,0
FFSU,2015,AL,2,Buprenorphine Hydrochloride,BUPRENEX,0.3 MG/1 ML,Solution,T,0
FFSU,2015,AL,2,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,T,0
FFSU,2015,AL,2,Buprenorphine/Naloxone,SUBOXONE,4 MG-1 MG,Film,F,19
FFSU,2015,AL,2,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,T,0
FFSU,2015,AL,2,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,F,3373
FFSU,2015,AL,2,Buprenorphine/Naloxone,SUBOXONE,12 MG-3 MG,Film,T,0
FFSU,2015,AL,2,Buprenorphine/Naloxone,SUBOXONE,12 MG-3 MG,Film,F,164
FFSU,2015,AL,2,Buprenorphine/Naloxone,ZUBSOLV,5.7 MG-1.4 MG,Tablet,F,40
FFSU,2015,AL,2,Buprenorphine Hydrochloride,BUPRENORPHINE HYDROCHLORIDE,0.3 MG/1 ML,Solution,T,0
FFSU,2015,AL,2,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",F,21
FFSU,2015,AL,2,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",F,29
FFSU,2015,AL,2,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",F,41
FFSU,2015,AL,2,Buprenorphine,BUTRANS,7.5 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2015,AL,2,Buprenorphine,BUTRANS,15 MCG/1 HR,"Patch, Extended Release",F,33
FFSU,2015,AL,2,Buprenorphine/Naloxone,BUNAVAIL,4.2 MG-0.7 MG,Film,T,0
FFSU,2015,AL,3,Buprenorphine Hydrochloride,BUPRENORPHINE,2 MG,Tablet,T,0
FFSU,2015,AL,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,F,579
FFSU,2015,AL,3,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,F,230
FFSU,2015,AL,3,Buprenorphine Hydrochloride,BUPRENORPHINE,8 MG,Tablet,T,0
FFSU,2015,AL,3,Buprenorphine/Naloxone,BUPRENORPHINE-NALOXONE,8 MG-2 MG,Tablet,T,0
FFSU,2015,AL,3,Buprenorphine Hydrochloride,BUPRENORPHINE HYDROCHLORIDE,0.3 MG/1 ML,Solution,T,0
FFSU,2015,AL,3,Buprenorphine Hydrochloride,BUPRENEX,0.3 MG/1 ML,Solution,T,0
FFSU,2015,AL,3,Buprenorphine/Naloxone,SUBOXONE,2 MG-0.5 MG,Film,T,0
FFSU,2015,AL,3,Buprenorphine/Naloxone,SUBOXONE,4 MG-1 MG,Film,F,21
FFSU,2015,AL,3,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,T,0
FFSU,2015,AL,3,Buprenorphine/Naloxone,SUBOXONE,8 MG-2 MG,Film,F,3242
FFSU,2015,AL,3,Buprenorphine/Naloxone,SUBOXONE,12 MG-3 MG,Film,T,0
FFSU,2015,AL,3,Buprenorphine/Naloxone,SUBOXONE,12 MG-3 MG,Film,F,171
FFSU,2015,AL,3,Buprenorphine/Naloxone,ZUBSOLV,5.7 MG-1.4 MG,Tablet,F,26
FFSU,2015,AL,3,Buprenorphine,BUTRANS,5 MCG/1 HR,"Patch, Extended Release",T,0
FFSU,2015,AL,3,Buprenorphine,BUTRANS,10 MCG/1 HR,"Patch, Extended Release",F,39
FFSU,2015,AL,3,Buprenorphine,BUTRANS,20 MCG/1 HR,"Patch, Extended Release",F,34
